Container Number,Size,Tare (kg),Terminal,Region,Type,Available From,Available To,Price (KRW),Remarks
YMLU7178725,40FT,3900,UNCT,울산,내항,2024-06-05,2024-06-10,42000,야간 불가
MAEU1617124,40HQ,4000,BPTG,부산,내항,2024-06-03,2024-06-08,40000,확정 이후 연락
ONEU4468375,40FT,3600,PNC,부산,외항,2024-06-02,2024-06-05,45000,야간 불가
HMMU2429101,40FT,3900,ICT,인천,내항,2024-06-07,2024-06-10,45000,빠른 픽업 가능
MSCU3625983,40FT,4000,PNC,부산,외항,2024-06-04,2024-06-09,42000,전화 요망
ONEU3775705,20FT,2200,HBCT,부산,내항,2024-06-06,2024-06-09,47000,전화 요망
FSCU5538242,40HQ,3900,JUCT,울산,내항,2024-06-07,2024-06-11,50000,전화 요망
HMMU5180650,40FT,3900,PCTC,평택,내항,2024-06-07,2024-06-11,42000,전화 요망
EMCU1408839,20FT,2400,DGT,부산,외항,2024-06-03,2024-06-08,50000,야간 불가
EMCU4626451,20FT,2300,UNCT,울산,내항,2024-06-01,2024-06-04,40000,전화 요망
EMCU6700840,20FT,2400,DGT,부산,외항,2024-06-03,2024-06-08,45000,확정 이후 연락
TCLU1006003,40FT,3900,BNCT,부산,외항,2024-06-04,2024-06-07,45000,빠른 픽업 가능
YMLU3551328,40HQ,4200,HJIT,인천,외항,2024-06-07,2024-06-12,40000,전화 요망
CMAU9466817,40FT,4000,IGCT,군산,내항,2024-06-06,2024-06-09,42000,야간 불가
TCLU9570830,20FT,2100,KIT,광양,내항,2024-06-06,2024-06-11,47000,야간 불가
TCLU8526812,40FT,3600,HJIT,인천,외항,2024-06-02,2024-06-06,40000,야간 불가
HMMU5103768,40HQ,4100,ICT,인천,내항,2024-06-02,2024-06-05,47000,확정 이후 연락
HMMU2820168,40FT,3600,HBCT,부산,내항,2024-06-05,2024-06-10,50000,전화 요망
FSCU4092085,20FT,2400,BCT,부산,외항,2024-06-04,2024-06-09,40000,확정 이후 연락
CMAU7138370,20FT,2100,GWCT,광양,내항,2024-06-01,2024-06-04,40000,빠른 픽업 가능
HMMU7619311,40FT,3800,KIT,광양,내항,2024-06-07,2024-06-12,50000,야간 불가
HMMU8206711,20FT,2500,BCT,부산,외항,2024-06-02,2024-06-05,47000,빠른 픽업 가능
MAEU7014595,20FT,2200,ICT,인천,내항,2024-06-06,2024-06-09,40000,확정 이후 연락
MAEU6749862,40HQ,3900,ICT,인천,내항,2024-06-06,2024-06-09,40000,빠른 픽업 가능
EMCU8933638,40HQ,4200,IFT,인천,내항,2024-06-07,2024-06-11,50000,야간 불가
FSCU6687664,20FT,2100,TOC,부산,내항,2024-06-04,2024-06-07,42000,빠른 픽업 가능
MSCU3983769,40FT,3700,DGT,부산,외항,2024-06-06,2024-06-10,47000,야간 불가
TRIU7485471,20FT,2500,PCTC,평택,내항,2024-06-04,2024-06-09,42000,전화 요망
OOLU5219709,40HQ,4000,IGCT,군산,내항,2024-06-03,2024-06-06,50000,확정 이후 연락
TRIU5257652,40HQ,3900,GWCT,광양,내항,2024-06-01,2024-06-04,45000,야간 불가
EMCU2271532,40FT,3700,KIT,광양,내항,2024-06-01,2024-06-06,45000,빠른 픽업 가능
HMMU4632901,40HQ,3800,KIT,광양,내항,2024-06-03,2024-06-06,40000,확정 이후 연락
MSCU8521486,20FT,2100,BCT,부산,외항,2024-06-04,2024-06-08,50000,야간 불가
CMAU4340163,20FT,2400,HBCT,부산,내항,2024-06-07,2024-06-11,42000,빠른 픽업 가능
FSCU9358114,20FT,2500,E1CT,인천,내항,2024-06-01,2024-06-06,47000,빠른 픽업 가능
MAEU5792472,40HQ,4000,SNCT,인천,외항,2024-06-05,2024-06-09,45000,빠른 픽업 가능
TRIU1137117,40FT,3900,BCT,부산,외항,2024-06-07,2024-06-12,47000,빠른 픽업 가능
CMAU2670030,20FT,2200,ICT,인천,내항,2024-06-01,2024-06-04,45000,야간 불가
MSCU5427477,20FT,2200,IFT,인천,내항,2024-06-02,2024-06-07,40000,빠른 픽업 가능
FSCU8840051,40FT,4000,BPTS,부산,내항,2024-06-07,2024-06-12,40000,확정 이후 연락
CMAU5669549,40FT,4000,E1CT,인천,내항,2024-06-03,2024-06-06,47000,전화 요망
EMCU9945220,40FT,3700,DGT,부산,외항,2024-06-06,2024-06-11,42000,확정 이후 연락
MAEU9603040,40FT,3900,PNIT,부산,외항,2024-06-03,2024-06-08,40000,전화 요망
TCLU3672126,40FT,4000,BCT,부산,외항,2024-06-05,2024-06-09,40000,빠른 픽업 가능
MAEU4265187,40FT,3600,PCTC,평택,내항,2024-06-03,2024-06-06,45000,빠른 픽업 가능
EMCU6909649,40FT,3700,E1CT,인천,내항,2024-06-05,2024-06-09,45000,확정 이후 연락
OOLU8229560,40FT,4000,IGCT,군산,내항,2024-06-05,2024-06-08,47000,전화 요망
MAEU7884402,40FT,4000,GWCT,광양,내항,2024-06-02,2024-06-06,47000,확정 이후 연락
ONEU5840620,40FT,3800,BPTS,부산,내항,2024-06-07,2024-06-10,40000,확정 이후 연락
EMCU9718495,40FT,3800,IFT,인천,내항,2024-06-01,2024-06-04,40000,확정 이후 연락
ONEU2642819,40FT,3900,E1CT,인천,내항,2024-06-04,2024-06-09,40000,전화 요망
MAEU8129555,40HQ,4100,PNC,부산,외항,2024-06-03,2024-06-08,45000,빠른 픽업 가능
EMCU3513336,20FT,2200,PCTC,평택,내항,2024-06-07,2024-06-12,40000,전화 요망
HMMU1143638,20FT,2500,PNC,부산,외항,2024-06-01,2024-06-04,45000,야간 불가
YMLU6514686,40FT,3700,UNCT,울산,내항,2024-06-06,2024-06-11,45000,전화 요망
YMLU3350540,40HQ,3800,TOC,부산,내항,2024-06-01,2024-06-04,47000,야간 불가
TCLU7561150,40HQ,3900,UNCT,울산,내항,2024-06-05,2024-06-10,47000,확정 이후 연락
MSCU5167319,40HQ,3800,KIT,광양,내항,2024-06-07,2024-06-12,50000,전화 요망
CMAU2987262,40HQ,4200,E1CT,인천,내항,2024-06-04,2024-06-09,50000,확정 이후 연락
TCLU3184538,40FT,3800,BNCT,부산,외항,2024-06-05,2024-06-09,50000,확정 이후 연락
MSCU7635240,40HQ,4000,IFT,인천,내항,2024-06-03,2024-06-08,45000,전화 요망
YMLU7095305,20FT,2100,ICT,인천,내항,2024-06-04,2024-06-09,45000,확정 이후 연락
MSCU7056764,20FT,2500,PNIT,부산,외항,2024-06-06,2024-06-11,47000,확정 이후 연락
MAEU6894725,20FT,2300,BPTG,부산,내항,2024-06-05,2024-06-09,40000,야간 불가
