Container Number,Size,Tare (kg),Terminal,Region,Type,Available From,Available To,Price (KRW),Remarks
TRIU1832350,20FT,2500,BPTG,부산,내항,2025-06-07,2025-06-10,40000,직거래 우선 선호
FSCU2741638,40FT,3900,JUCT,울산,내항,2025-06-22,2025-06-27,50000,약한 스크래치 있음
FSCU5814681,40FT,3900,IFT,인천,내항,2025-06-01,2025-06-05,47000,내부 청결 양호
MAEU6834233,40HQ,4200,UNCT,울산,내항,2025-06-12,2025-06-17,45000,도장 벗겨짐 있음
MSCU2421867,40FT,3900,PCTC,평택,내항,2025-06-30,2025-07-03,45000,사전 연락 필수
OOLU6158551,40HQ,4100,BNCT,부산,외항,2025-06-28,,0,가격 문의 필요
OOLU5646012,20FT,2400,JUCT,울산,내항,2025-06-28,2025-07-02,42000,도장 벗겨짐 있음
ONEU6995872,20FT,2100,JUCT,울산,내항,2025-06-22,2025-06-25,40000,사전 연락 필수
TRIU1611430,40FT,3800,JUCT,울산,내항,2025-06-29,2025-07-04,40000,사전 연락 필수
TRIU9183335,40HQ,3800,HJIT,인천,외항,2025-06-09,,0,가격 문의 필요
HMMU7207449,20FT,2400,BPTS,부산,내항,2025-06-08,2025-06-12,40000,약한 스크래치 있음
TCLU2650987,40HQ,3900,GWCT,광양,내항,2025-06-07,2025-06-12,50000,사전 연락 필수
TCLU9004913,40FT,3700,BPTG,부산,내항,2025-06-29,2025-07-02,40000,직거래 우선 선호
CMAU4960752,40FT,3900,BCT,부산,외항,2025-06-23,,0,가격 문의 필요
YMLU5461175,40HQ,3800,BNCT,부산,외항,2025-06-22,,0,가격 문의 필요
HMMU4259243,40HQ,4100,HJIT,인천,외항,2025-06-05,,0,가격 문의 필요
HMMU4155549,40HQ,4100,IFT,인천,내항,2025-06-26,2025-06-30,50000,내부 청결 양호
ONEU1427729,40HQ,4100,GWCT,광양,내항,2025-06-04,2025-06-07,45000,약한 스크래치 있음
HMMU5790776,40HQ,3900,HBCT,부산,내항,2025-06-20,2025-06-24,42000,1회 사용 신품급
FSCU3707543,40HQ,3800,ICT,인천,내항,2025-06-05,2025-06-08,45000,문짝 휘어짐 있음
TCLU4904501,40HQ,4000,KIT,광양,내항,2025-06-05,2025-06-10,45000,도장 벗겨짐 있음
HMMU9258100,40FT,3900,GWCT,광양,내항,2025-06-01,2025-06-06,42000,도장 벗겨짐 있음
EMCU9877685,20FT,2100,PCTC,평택,내항,2025-06-25,2025-06-30,42000,내부 청결 양호
ONEU9032260,40FT,3900,GWCT,광양,내항,2025-06-19,2025-06-23,40000,주말 픽업 가능
CMAU4315796,40HQ,4000,IFT,인천,내항,2025-06-13,2025-06-16,47000,사전 연락 필수
EMCU3057604,40HQ,4000,PNC,부산,외항,2025-06-14,,0,가격 문의 필요
TRIU9490492,20FT,2200,SNCT,인천,외항,2025-06-26,,0,가격 문의 필요
MSCU6118899,20FT,2200,KIT,광양,내항,2025-06-18,2025-06-22,40000,직거래 우선 선호
CMAU3651467,20FT,2200,IFT,인천,내항,2025-06-24,2025-06-28,47000,도장 벗겨짐 있음
EMCU3337663,20FT,2100,DGT,부산,외항,2025-06-19,,0,가격 문의 필요
EMCU6032001,40HQ,3900,IFT,인천,내항,2025-06-03,2025-06-06,45000,사전 연락 필수
ONEU7109585,40HQ,4100,DGT,부산,외항,2025-06-07,,0,가격 문의 필요
ONEU1471987,40FT,3800,PNIT,부산,외항,2025-06-28,,0,가격 문의 필요
CMAU6708664,40FT,3900,DGT,부산,외항,2025-06-13,,0,가격 문의 필요
HMMU9573855,40FT,3900,JUCT,울산,내항,2025-06-24,2025-06-28,42000,1회 사용 신품급
ONEU9206674,40FT,3800,SNCT,인천,외항,2025-06-26,,0,가격 문의 필요
MAEU3482801,40FT,4000,PCTC,평택,내항,2025-06-15,2025-06-18,42000,문짝 휘어짐 있음
ONEU4497553,20FT,2100,PNC,부산,외항,2025-06-10,,0,가격 문의 필요
YMLU6112120,40FT,3700,BCT,부산,외항,2025-06-20,,0,가격 문의 필요
YMLU9233786,40FT,3900,PNC,부산,외항,2025-06-05,,0,가격 문의 필요
YMLU5350409,40FT,3700,HJIT,인천,외항,2025-06-22,,0,가격 문의 필요
TCLU3146296,40HQ,3800,BPTS,부산,내항,2025-06-18,2025-06-21,40000,문짝 휘어짐 있음
CMAU9745095,40HQ,3800,IGCT,군산,내항,2025-06-08,2025-06-12,45000,직거래 우선 선호
YMLU3018458,40FT,3600,JUCT,울산,내항,2025-06-01,2025-06-05,42000,문짝 휘어짐 있음
ONEU8115542,40FT,3800,IGCT,군산,내항,2025-06-02,2025-06-06,47000,사전 연락 필수
MSCU4569250,20FT,2300,IGCT,군산,내항,2025-06-13,2025-06-17,45000,주말 픽업 가능
OOLU8485697,40FT,3700,HJIT,인천,외항,2025-06-20,,0,가격 문의 필요
TRIU5306049,20FT,2500,GWCT,광양,내항,2025-06-11,2025-06-14,50000,1회 사용 신품급
MAEU6109723,20FT,2500,HBCT,부산,내항,2025-06-10,2025-06-15,47000,주말 픽업 가능
OOLU2394982,40FT,4000,HBCT,부산,내항,2025-06-24,2025-06-27,47000,문짝 휘어짐 있음
ONEU9723405,20FT,2100,IFT,인천,내항,2025-06-26,2025-06-29,45000,1회 사용 신품급
