Container Number,Size,Tare (kg),Terminal,Region,Type,Available From,Available To,Price (KRW),Remarks
OOLU9999291,40FT,3600,ICT,인천,내항,2025-06-05,2025-06-08,42000,확정 이후 연락
HMMU2148379,40HQ,4200,PNC,부산,외항,2025-06-25,,0,가격 문의 필요
CMAU6975239,20FT,2100,TOC,부산,내항,2025-06-15,2025-06-19,42000,빠른 픽업 가능
OOLU9077543,20FT,2400,PNC,부산,외항,2025-06-16,,0,가격 문의 필요
OOLU2381528,40HQ,4200,BPTS,부산,내항,2025-06-01,2025-06-04,50000,야간 불가
EMCU4615382,20FT,2200,JUCT,울산,내항,2025-06-29,2025-07-03,45000,전화 요망
OOLU6133443,40FT,3700,PNIT,부산,외항,2025-06-17,,0,가격 문의 필요
CMAU2884476,40HQ,4200,E1CT,인천,내항,2025-06-19,2025-06-22,50000,빠른 픽업 가능
OOLU9986296,40FT,3600,GWCT,광양,내항,2025-06-10,2025-06-15,40000,확정 이후 연락
HMMU9306099,40FT,3600,E1CT,인천,내항,2025-06-17,2025-06-22,50000,야간 불가
OOLU7214477,20FT,2500,UNCT,울산,내항,2025-06-17,2025-06-21,45000,전화 요망
YMLU1121961,40HQ,4200,IFT,인천,내항,2025-06-16,2025-06-21,47000,확정 이후 연락
MAEU3320649,40HQ,4100,KIT,광양,내항,2025-06-23,2025-06-26,42000,확정 이후 연락
YMLU5345705,40HQ,3900,HBCT,부산,내항,2025-06-15,2025-06-18,45000,빠른 픽업 가능
EMCU7018596,40HQ,3900,UNCT,울산,내항,2025-06-29,2025-07-02,47000,전화 요망
CMAU2383638,40FT,3800,PNC,부산,외항,2025-06-01,,0,가격 문의 필요
CMAU6846816,40HQ,4200,PNCT,평택,내항,2025-06-18,2025-06-21,42000,전화 요망
ONEU2179092,40HQ,4100,UNCT,울산,내항,2025-06-03,2025-06-07,50000,야간 불가
OOLU4912907,40HQ,3800,JUCT,울산,내항,2025-06-06,2025-06-09,40000,확정 이후 연락
FSCU3016735,40HQ,4000,PCTC,평택,내항,2025-06-08,2025-06-11,45000,확정 이후 연락
MAEU3535788,40FT,4000,BNCT,부산,외항,2025-06-27,,0,가격 문의 필요
MAEU3177905,40FT,3900,GWCT,광양,내항,2025-06-06,2025-06-10,40000,야간 불가
TCLU1308134,40HQ,3900,BCT,부산,외항,2025-06-30,,0,가격 문의 필요
FSCU3517530,20FT,2300,PNC,부산,외항,2025-06-02,,0,가격 문의 필요
MAEU5379638,20FT,2100,IFT,인천,내항,2025-06-01,2025-06-06,45000,빠른 픽업 가능
ONEU9680678,40FT,3900,BPTG,부산,내항,2025-06-29,2025-07-03,47000,야간 불가
MSCU4352062,40HQ,4000,SNCT,인천,외항,2025-06-06,,0,가격 문의 필요
ONEU1093699,20FT,2500,KIT,광양,내항,2025-06-19,2025-06-24,42000,확정 이후 연락
MSCU2688040,40FT,3600,TOC,부산,내항,2025-06-05,2025-06-08,50000,확정 이후 연락
FSCU9469581,40FT,3800,ICT,인천,내항,2025-06-10,2025-06-15,47000,전화 요망
EMCU2537991,20FT,2200,BPTS,부산,내항,2025-06-16,2025-06-20,42000,전화 요망
ONEU2506030,40FT,4000,BCT,부산,외항,2025-06-11,,0,가격 문의 필요
FSCU1910460,20FT,2100,PNIT,부산,외항,2025-06-29,,0,가격 문의 필요
